docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,earliest_publn_date,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,SE,TELEFONAKTIEBOLAGET LM ERICSSON (publ),2593,25270921,COMPANY,1,0
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,ES,"CASTELLANOS ZAMORA, David",74555791,1789372,,0,1
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,CA,"FOTI, George",85745189,185855,UNKNOWN,0,5
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,ES,"DE-GREGORIO-RODRIGUEZ, Jesus-Angel",85757132,4482343,UNKNOWN,0,2
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,ES,"DOPICO SANJUAN, Jose Miguel",85855357,30814396,UNKNOWN,0,3
68610151,524641999,2020,EP,20700022,4,2022-09-21,1,5,ES,"GARCIA MARTIN, Miguel Angel",85878751,898090,UNKNOWN,0,4
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,CASTELLANOS ZAMORA DAVID,72551383,1789372,,0,1
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,"SWEDEN ERICSSON CO., LTD.",85465886,38335113,UNKNOWN,1,0
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,MIGUEL,86630870,4866817,UNKNOWN,0,4
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,GARCIA MARTIN MIGUEL ANGEL,86636857,898090,UNKNOWN,0,5
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,DE GREGORIO-ROGRIGUEZ JESUS-ANGEL,88734361,40015469,UNKNOWN,0,2
68610151,574660253,2020,CN,202080079259,4,2022-06-24,1,5,  ,"DOPICO SANJUAN, JOS Â¨",88735244,40493024,UNKNOWN,0,3
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,SE,Telefonaktiebolaget LM Ericsson (publ),5217733,2211,COMPANY,1,0
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,CA,"Foti, George",5815813,185855,INDIVIDUAL,0,4
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,ES,"Castellanos Zamora, David",11133829,1789372,INDIVIDUAL,0,5
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,ES,"Garcia Martin, Miguel Angel",12354989,898090,INDIVIDUAL,0,2
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,ES,"DOPICO SANJUAN, Jose Miguel",79539431,25177365,,0,1
68610151,584897543,2020,US,202017776017,4,2022-12-22,1,5,ES,"De Gregorio Rodriguez, Jesus Angel",86043187,898090,UNKNOWN,0,3
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,AT,Borealis AG,54446116,8901,COMPANY,1,0
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,AT,"WURNITSCH, Christof",79309333,347773,,0,5
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,BE,"BERGSTRA, Michiel",79310098,345252,,0,2
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,AT,"VIJAY, Sameer",79310421,1797341,,0,4
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,FI,"AL-HAJ ALI, Mohammad",79344057,21451701,,0,1
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,FI,"ZITTING, Samuli",79372347,427239,,0,6
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,NL,"SLEIJSTER, Henry",79380792,23840216,,0,7
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,FI,"AJELLAL, Noureddine",79383230,4583764,,0,8
69104324,524393870,2020,EP,20150102,7,2021-07-07,1,8,SE,"ERIKSSON, Erik",79438196,981747,,0,3
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,FI,"ZITTING, SAMULI",13086289,427239,INDIVIDUAL,0,6
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,SE,"ERIKSSON, ERIK",24596329,981747,INDIVIDUAL,0,3
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,AT,"WURNITSCH, CHRISTOF",25690347,347773,INDIVIDUAL,0,5
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,BE,"BERGSTRA, MICHIEL",42359950,345252,INDIVIDUAL,0,2
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,FI,"AJELLAL, NOUREDDINE",44687988,4583764,,0,8
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,FI,"AL-HAJ ALI, MOHAMMAD",47570263,21451701,,0,1
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,AT,"VIJAY, SAMEER",53023914,1797341,,0,4
69104324,542448635,2020,WO,2020084905,7,2021-07-08,1,8,NL,"SLEIJSTER, Henry",55563395,23840216,,0,7
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,FI,"ZITTING, SAMULI",13086289,427239,INDIVIDUAL,0,6
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,SE,"ERIKSSON, ERIK",24596329,981747,INDIVIDUAL,0,3
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,AT,"WURNITSCH, CHRISTOF",25690347,347773,INDIVIDUAL,0,5
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,NL,"SLEIJSTER, Henry",55563395,23840216,,0,7
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,NL,"BERGSTRA, Michiel",71182442,345252,,0,2
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,JO,"AL-HAJ ALI, MOHAMMAD",80526472,21451701,,0,1
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,IN,"VIJAY, SAMEER",81312758,1797341,,0,4
69104324,562112646,2020,TW,109139459,7,2021-09-16,1,8,MA,"AJELLAL, NOUREDDINE",82925365,4583764,UNKNOWN,0,8
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,BOREALIS AG,58640322,8901,COMPANY,1,0
